epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1823,1.62606,2.65539,3.18791,1.16099,0.2661,0.07316,0.05734,0.03504,0.28456,0.07824,0.06268,0.03511,1.2095,1.98138,3.83042,1.0212,8.00E-05,8.00E-05,8.00E-05
2,17.9867,1.08106,1.80304,1.79255,1.00481,0.82892,0.9835,0.96127,0.79816,0.83106,0.98604,0.95639,0.67894,0.62081,1.09948,1.75396,0.83676,0.000179109,0.000179109,0.000179109
3,23.2047,0.5439,0.78716,0.52293,0.83818,0.87585,0.81472,0.90092,0.76011,0.87585,0.81472,0.90078,0.65685,0.60469,1.01703,2.25916,0.82544,0.000277228,0.000277228,0.000277228
4,29.2234,0.48142,0.69067,0.43632,0.82145,0.72836,0.99619,0.85243,0.74551,0.72651,0.99365,0.85236,0.61224,0.52947,0.97324,1.93667,0.8124,0.000374357,0.000374357,0.000374357
5,34.4769,0.47509,0.68368,0.41613,0.81351,0.76581,0.99492,0.97993,0.85502,0.76483,0.99365,0.97927,0.72072,0.55021,0.94895,1.47014,0.81007,0.000470496,0.000470496,0.000470496
6,40.2722,0.52184,0.67092,0.41601,0.81744,0.92914,0.9835,0.98153,0.83864,0.92555,0.9797,0.97966,0.72036,0.59509,0.90013,0.90489,0.8218,0.000565645,0.000565645,0.000565645
7,46.1916,0.48033,0.65513,0.39887,0.81145,0.8921,0.99492,0.98497,0.86979,0.89096,0.99365,0.98497,0.74996,0.5204,0.82842,0.95085,0.80671,0.000659804,0.000659804,0.000659804
8,51.1964,0.47443,0.62905,0.39205,0.80795,0.95034,0.9835,0.98761,0.86556,0.94911,0.98223,0.98708,0.73724,0.55284,0.83473,0.63454,0.81527,0.000752973,0.000752973,0.000752973
9,56.9705,0.46195,0.61155,0.38478,0.80726,0.94831,0.97783,0.98703,0.85778,0.94708,0.97656,0.98518,0.73628,0.53559,0.78273,0.65586,0.81189,0.000845152,0.000845152,0.000845152
10,63.031,0.46945,0.62598,0.37838,0.80687,0.9625,0.97703,0.98564,0.87433,0.96,0.9745,0.9831,0.75742,0.50849,0.79586,0.55118,0.80632,0.000936341,0.000936341,0.000936341
